table,column
ad,request.context.standard_app_bundle_id
ad,request.context.standard_app_id
ad,request.context.standard_brand_id
ad,request.context.standard_channel_id
ad,request.context.standard_content_daypart_id
ad,request.context.standard_endpoint_id
ad,request.context.standard_endpoint_owner_id
ad,request.context.standard_genre_ids
ad,request.context.standard_iab_category_ids
ad,request.context.standard_language_ids
ad,request.context.standard_programmer_id
ad,request.context.standard_publisher_id
ad,request.context.standard_site_domain_id
ad,request.context.standard_ssp_channel_id
ad,request.context.station_id
ad,request.context.stream_id
ad,request.context.stream_mode_id
ad,request.context.tv_network_id
ad,request.context.video_cro_context_id
ad,request.context.video_cro_network_id
ad,request.context.video_cro_site_id
ad,request.decision_info
ad,request.decision_info.value3
ad,request.delivery_method
ad,request.extra_flags
ad,request.extra_flags2
ad,request.extra_flags3
ad,request.flags
ad,request.global_currency_version
ad,request.is_filtered
ad,request.linear_capnedit
ad,request.log_sampling.magnifier
ad,request.magnifier
ad,request.mpe_matcher_filters.id
ad,request.mpe_matcher_filters.weight
ad,request.multiplier
ad,request.prebid_sivt
ad,request.prebid_sivt.capnedit
ad,request.prebid_sivt.capnedit.traffic_valid
ad,request.server_group
ad,request.server_pool
ad,request.timestamp
ad,request.traffic_type
ad,slot.avail_type
ad,slot.flags
ad,slot.max_ads
ad,slot.normalized_ad_unit_id
ad,slot.num_ads
ad,slot.sequence
ad,slot.time_position_class
ad,slot.unfilled_avails
ad,visitor.active_state
ad,visitor.city_id
ad,visitor.country
ad,visitor.country_id
ad,visitor.dma_code
ad,visitor.dma_code_id
ad,visitor.filtration_reason
ad,visitor.operator_zone_id
ad,visitor.postal_code
ad,visitor.standard_device_type_child_id
ad,visitor.standard_device_type_ids
ad,visitor.standard_environment_id
ad,visitor.standard_os_id
ad,visitor.state
ad,visitor.state_id
ad,visitor.syscode
ad,visitor.user_agent_device_type
auction,auction.app_bundle
auction,auction.auction_sampling.magnifier
auction,auction.auction_status
auction,auction.bid_request_count
auction,auction.bid_throttling_info
auction,auction.bid_throttling_info.exempt_thousandth
auction,auction.bid_throttling_info.flags
auction,auction.bid_throttling_info.model_info.model_flags
auction,auction.bid_throttling_info.model_info.model_id
auction,auction.buyer_group_id
auction,auction.buyer_platform_id
auction,auction.buyer_platform_url_id
auction,auction.device_type
auction,auction.dsp_id
auction,auction.error
auction,auction.flags
auction,auction.impression
auction,auction.impression.deals.buyer_group_id
auction,auction.impression.deals.internal_deal_id
auction,auction.impression.equivalent_opportunity_number
auction,auction.impression.index
auction,auction.integration_type
auction,auction.invite_deal_size
auction,auction.is_faked_auction
auction,auction.mkpl_partner_tags.strategy
auction,auction.network_id
auction,auction.publisher_id
auction,auction.series_id
auction,auction.site_id
auction,auction.site_section_id
auction,auction.time_position_class
auction,idx
auction,partners.content_owner_network_id
auction,partners.deal_awareability
auction,partners.entity_source
auction,partners.geo_country_visibility.report_aggregate
auction,partners.inbound_order_id
auction,partners.internal_deal_ids
auction,partners.network_id
auction,partners.outbound_order_ids
auction,partners.reseller_network_id
auction,partners.sales_channel
auction,partners.site_id
auction,partners.site_section_id
auction,partners.standard_brand_visibility.report_aggregate
auction,partners.standard_endpoint_owner_visibility.report_aggregate
auction,partners.standard_endpoint_visibility.report_aggregate
auction,partners.standard_programmer_visibility.report_aggregate
auction,partners.supply_source
auction,partners.supply_source_type
auction,partners.user_agent_visibility.report_aggregate
auction,request.context.network_id
auction,request.context.profile_id
auction,request.context.profile_type
auction,request.context.request_format
auction,request.context.standard_brand_id
auction,request.context.standard_endpoint_id
auction,request.context.standard_endpoint_owner_id
auction,request.context.standard_programmer_id
auction,request.context.video_cro_context_id
auction,request.context.video_cro_network_id
auction,request.delivery_method
auction,request.extra_flags
auction,request.extra_flags2
auction,request.extra_flags3
auction,request.flags
auction,request.is_filtered
auction,request.log_sampling.magnifier
auction,request.magnifier
auction,request.multiplier
auction,request.server_group
auction,request.server_pool
auction,request.timestamp
auction,request.traffic_type
auction,visitor.cookie_user_id
auction,visitor.country_id
auction,visitor.standard_device_type_child_id
auction,visitor.user_agent_device_type
candidate,advertisement.duration
candidate,advertisement.external_reseller
candidate,advertisement.external_reseller.network_id
candidate,advertisement.flags
candidate,advertisement.is_fallback
candidate,auction.auction_status
candidate,auction.bid_throttling_info
candidate,auction.bid_throttling_info.exempt_thousandth
candidate,auction.bid_throttling_info.flags
candidate,auction.bid_throttling_info.model_info.model_flags
candidate,auction.bid_throttling_info.model_info.model_id
candidate,auction.bid_to_usd_exchange_rate
candidate,auction.buyer_group_id
candidate,auction.buyer_platform_url_id
candidate,auction.device_type
candidate,auction.dsp_id
candidate,auction.flags
candidate,auction.integration_type
candidate,auction.invite_deal_size
candidate,auction.mkpl_partner_tags.strategy
candidate,auction.network_id
candidate,auction.site_id
candidate,auction.site_section_id
candidate,auction.time_position_class
candidate,candidate.advertiser_id
candidate,candidate.auction_outbound_listing_id
candidate,candidate.bid_status
candidate,candidate.bidding_buyer_id
candidate,candidate.bit_flags
candidate,candidate.brand_id
candidate,candidate.buyer_group_id
candidate,candidate.buyer_id
candidate,candidate.buyer_platform_id
candidate,candidate.candidate_network_to_auction_network_exchange_rate
candidate,candidate.candidate_network_to_auction_seller_network_exchange_rate
candidate,candidate.cch_key
candidate,candidate.clearing_price
candidate,candidate.dsp_clearing_price
candidate,candidate.dsp_crid
candidate,candidate.dsp_currency_id
candidate,candidate.dsp_id
candidate,candidate.duration
candidate,candidate.error
candidate,candidate.external_ad_id
candidate,candidate.external_seat_id
candidate,candidate.filter_reason.error
candidate,candidate.filter_reason.error_category
candidate,candidate.flags
candidate,candidate.global_advertiser_ids
candidate,candidate.global_brand_ids
candidate,candidate.global_industry_ids
candidate,candidate.integration_type
candidate,candidate.internal_deal_id
candidate,candidate.internal_group_deal_id
candidate,candidate.internal_seat_id
candidate,candidate.market_ad_id
candidate,candidate.network_id
candidate,candidate.order_id
candidate,candidate.original_price
candidate,candidate.raw_price
candidate,candidate.redirect_count
candidate,candidate.trading_desk_id
candidate,partners.bit_flags
candidate,partners.content_form_visibility.report_aggregate
candidate,partners.content_rating_visibility.report_aggregate
candidate,partners.deal_awareability
candidate,partners.entity_source
candidate,partners.geo_city_visibility.report_aggregate
candidate,partners.geo_country_visibility.report_aggregate
candidate,partners.geo_dma_visibility.report_aggregate
candidate,partners.geo_state_visibility.report_aggregate
candidate,partners.geo_zip_code_visibility.report_aggregate
candidate,partners.inbound_listing_id
candidate,partners.inbound_order_id
candidate,partners.network_id
candidate,partners.outbound_listing_id
candidate,partners.outbound_order_type
candidate,partners.reseller_network_id
candidate,partners.sales_channel
candidate,partners.site_id
candidate,partners.site_section_id
candidate,partners.standard_brand_visibility.report_aggregate
candidate,partners.standard_channel_visibility.report_aggregate
candidate,partners.standard_content_daypart_visibility.report_aggregate
candidate,partners.standard_endpoint_owner_visibility.report_aggregate
candidate,partners.standard_endpoint_visibility.report_aggregate
candidate,partners.standard_genre_visibility.report_aggregate
candidate,partners.standard_language_visibility.report_aggregate
candidate,partners.standard_programmer_visibility.report_aggregate
candidate,partners.supply_source
candidate,partners.user_agent_visibility.report_aggregate
candidate,request.bit_flags
candidate,request.context.content_form_id
candidate,request.context.content_rating_id
candidate,request.context.inventory_location_id
candidate,request.context.ip_enabled_audience_id
candidate,request.context.network_id
candidate,request.context.profile_id
candidate,request.context.profile_type
candidate,request.context.request_format
candidate,request.context.standard_brand_id
candidate,request.context.standard_channel_id
candidate,request.context.standard_content_daypart_id
candidate,request.context.standard_endpoint_id
candidate,request.context.standard_endpoint_owner_id
candidate,request.context.standard_genre_ids
candidate,request.context.standard_language_ids
candidate,request.context.standard_programmer_id
candidate,request.context.stream_mode_id
candidate,request.context.transcode_package_id
candidate,request.context.video_cro_context_id
candidate,request.context.video_cro_network_id
candidate,request.delivery_method
candidate,request.extra_flags
candidate,request.extra_flags2
candidate,request.extra_flags3
candidate,request.flags
candidate,request.is_filtered
candidate,request.log_sampling.magnifier
candidate,request.server_group
candidate,request.server_pool
candidate,request.timestamp
candidate,request.traffic_type
candidate,visitor.city_id
candidate,visitor.cookie_user_id
candidate,visitor.country_id
candidate,visitor.dma_code
candidate,visitor.dma_code_id
candidate,visitor.postal_code
candidate,visitor.standard_device_type_child_id
candidate,visitor.standard_environment_id
candidate,visitor.standard_os_id
candidate,visitor.state_id
candidate,visitor.user_agent_device_type
request,execution_networks.content_owner_network_id
request,execution_networks.inbound_listing_id
request,execution_networks.network_execution_ctx_flags
request,execution_networks.network_id
